ade4 1.4-3
meta 0.8
methods 2.5.0
mgcv 1.6-2
mi 0.9-6
micEcon 0.6-0
micEcon 0.6-1
minpack.lm 1.1-1
minpack.lm 1.1-4
misc3d 0.7-0
miscTools 0.6-0
miscTools 0.6-1
miscTools 0.6-5
mnormt 1.3-1
modeltools 0.2-16
modeltools 0.2-6
modeltools 0.2-9
multcomp 0.991-7
multcomp 1.1-0
multcomp 1.1-2
multicore 0.1-2
mutoss 0.1-0
mvbutils 2.5.1
mvtnorm 0.5-10
mvtnorm 0.6-3
mvtnorm 0.7-0
mvtnorm 0.8-0
mvtnorm 0.9-9
network 1.4.1
nlme 3.1-29
nlme 3.1.4
nnls 1.1
nor1mix 1.0-7
np 0.30-0
ofp 0.4.0
ofp 0.5.0
operator.tools 0.2.1
orloca 3.1
orloca 3.2
orloca.es 3.0
parser 0.0-10
pbatR 2.0.0
PBSmodelling 2.50
pcaMethods 1.24.0
perm 1.0
playwith 0.8.24
plm 1.0-1
plyr 0.1.9
pmml 1.2.13
portfolio 0.4-0
proxy 0.4-6
pscl 0.59
QCA 0.4-6
qtl 1.7-12
qtl 1.9.43
R 0.65
R 0.99
R 1.0
R 1.2
R 1.2.0
R 1.4
R 1.4.0
R 1.4.1
R 1.5
R 1.50
R 1.5.0
R 1.5.1
R 1.6
R 1.6.0
R 1.6.1
R 1.6.2
R 1.7
R 1.7.0
R 1.7.1
R 1.8.0
R 1.8.1
R 1.9
R 1.9.0
R 1.9.1
R 2.0
R 2.0.0
R 2.0.0
R 2.0.1
R 2.0.1
R 2.1
R 2.10
R 2.1.0
R 2.10.0
R 2.10.1
R 2.11
R 2.1.1
R 2.11.0
R 2.11.1
R 2.2
R 2.2.0
R 2.2.1
R 2.3
R 2.3.0
R 2.3.1
R 2.4
R 2.4.0
R 2.4.1
R 2.5
R 2.5.0
R 2.5.1
R 2.6
R 2.6.0
R 2.6.1
R 2.6.2
R 2.7
R 2.7.0
R 2.7.1
R 2.7.2
R 2.8
R 2.8.0
R 2.8.1
R 2.9
R 2.9.0
R 2.9.1
R 2.9.2
RandomFields 1.3.30
RandomFields 1.3.41
RandVar 0.6
RandVar 0.6.3
RandVar 0.6.4
RandVar 0.7
RBGL 1.18.0
R.cache 0.3.0
Rcmdr 1.3
Rcmdr 1.3-0
Rcmdr 1.3-12
Rcmdr 1.3-9
Rcmdr 1.4-0
Rcmdr 1.4-6
Rcmdr 1.5-4
Rcmdr 1.5-6
rcom 1.5-2
rcom 2.1-3
Rcpp 0.7.11
Rcpp 0.7.2
Rcpp 0.7.4
Rcpp 0.8.0
Rcpp 0.8.2
Rcpp 0.8.3
Rcpp 0.8.4
Rcpp 0.8.5
relations 0.4-0
reshape 0.7.1
reshape 0.8.0
reshape 0.8.1
reshape 0.8.3
R.filesets 0.8.3
rgdal 0.5.2
rgdal 0.6-7
rgenoud 2.12
rgenoud 2.9
rgenoud 5.4-7
rgl 0.64-10
rgl 0.66
rgl 0.79
Rgraphviz 1.26.0
RGtk2 2.12.8
R.huge 0.2.0
richards 0.5
rjags 2.1.0
rjags 2.1.0-4
rjags 2.1.0-5
rJava 0.4-15
rJava 0.5
rJava 0.5-0
rJava 0.5.0
rJava 0.6-3
rJava 0.8
rJava 0.8-0
rJava 0.8-1
rJava 0.8-2
rJava 0.8-4
rjson 0.1.3
rjson 0.1.9
R.methodsS3 1.0.0
R.methodsS3 1.2.0
Rmpi 0.5-7
RobAStBase 0.1.1
R.oo 1.7.3
ROptEstOld 0.5.2
ROptRegTS 0.6.1
rpart 3.1-8
R.rsp 0.3.6
RSQLite 0.5-6
RSQLite 0.8-0
RSQLite 0.9-1
runjags 0.9.5
R.utils 1.0.0
R.utils 1.0.3
R.utils 1.4.3
sandwich 1.1-1
sandwich 2.2-4
sapa 1.0-2
scatterplot3d 0.3-23
sda 1.1.0
sendplot 3.8.0
setRNG 4.4-1
setRNG 6.2-1
sets 0.3-2
sets 1.0-4
slam 0.1-9
sna 2.0-1
snow 0.3.0
snow 0.3-3
Snowball 0.0-7
sos 1.2-3
sp 0.8-14
sp 0.8-3
sp 0.9
sp 0.9-0
sp 0.9-4
sp 0.9-44
sp 0.9-47
sp 0.9-51
sp 0.9-60
sp 0.9-64
spam 0.15-5
spatialCovariance 0.6-4
spatstat 1.15-2
spatstat 1.4.0
splus2R 1.0-2
statmod 1.0.8
survival 2.35-4
survival 2.35-6
survival 2.35-7
systemfit 1.0-0
tcltk 2.10.0
tcltk2 1.0-7
tcltk 2.4.1
tcltk 2.7.0
tframe 7.5-3
tframe 8.5-1
tframe 9.2-1
timeDate 0.86
timeSeries 0.84
tkrplot 0.0-18
tm 0.4
tm 0.5-3
TSdbi 0.3-1
TSdbi 0.5-1
TTR 0.2
ttutils 0.1-0
urca 1.1-6
utils 2.5.0
vegan 1.15-3
VGAM 0.8-1
wavethresh 2.2-10
wavethresh 4.5
wmtsa 1.0-3
XML 2.8
XML 3.1-0
xts 0.6.4
xts 0.6-7
xts 0.6-8
zoo 1.0-0
zoo 1.6
